,RaceName,Sex,AgeGroup,CountyName,CommunicationType,CampaignType,Count
380,Asian,F,65+,Ingham,text,scomi,30
381,Asian,F,65+,Ionia,call,lpv,6
382,Asian,F,65+,Ionia,text,lpv,12
383,Asian,F,65+,Isabella,mail,lpv,2
384,Asian,F,65+,Jackson,call,lpv,4
385,Asian,F,65+,Jackson,text,lpv,6
386,Asian,F,65+,Kalamazoo,call,lpv,15
387,Asian,F,65+,Kalamazoo,mail,lpv,22
388,Asian,F,65+,Kalamazoo,text,lpv,89
389,Asian,F,65+,Kalamazoo,text,scomi,14
390,Asian,F,65+,Kent,call,lpv,92
391,Asian,F,65+,Kent,mail,lpv,86
392,Asian,F,65+,Kent,postcards,lpv,9
393,Asian,F,65+,Kent,text,lpv,280
394,Asian,F,65+,Kent,text,scomi,22
395,Asian,F,65+,Lapeer,text,lpv,1
396,Asian,F,65+,Lenawee,postcards,lpv,1
397,Asian,F,65+,Livingston,call,lpv,5
398,Asian,F,65+,Livingston,text,lpv,14
399,Asian,F,65+,Macomb,call,lpv,239
400,Asian,F,65+,Macomb,mail,lpv,631
401,Asian,F,65+,Macomb,postcards,lpv,12
402,Asian,F,65+,Macomb,text,lpv,1631
403,Asian,F,65+,Macomb,text,scomi,228
404,Asian,F,65+,Mecosta,call,lpv,4
405,Asian,F,65+,Mecosta,text,lpv,12
406,Asian,F,65+,Midland,call,lpv,3
407,Asian,F,65+,Midland,text,lpv,6
408,Asian,F,65+,Monroe,call,lpv,1
409,Asian,F,65+,Monroe,text,lpv,6
410,Asian,F,65+,Muskegon,call,lpv,6
411,Asian,F,65+,Muskegon,text,lpv,12
412,Asian,F,65+,Oakland,call,oakland,492
413,Asian,F,65+,Oakland,mail,lpv,1342
414,Asian,F,65+,Oakland,mail,oakland,6272
415,Asian,F,65+,Oakland,phone,oakland,524
417,Asian,F,65+,Oakland,postcards,lpv,82
418,Asian,F,65+,Oakland,text,lpv,1462
419,Asian,F,65+,Oakland,text,oakland,2989
422,Asian,F,65+,Oakland,text,scomi,118
423,Asian,F,65+,Ottawa,call,lpv,59
424,Asian,F,65+,Ottawa,call,oakland,5
425,Asian,F,65+,Ottawa,mail,lpv,53
426,Asian,F,65+,Ottawa,mail,oakland,15
427,Asian,F,65+,Ottawa,phone,oakland,5
428,Asian,F,65+,Ottawa,text,lpv,174
429,Asian,F,65+,Ottawa,text,scomi,3
430,Asian,F,65+,Saginaw,call,lpv,4
431,Asian,F,65+,Saginaw,text,lpv,15
432,Asian,F,65+,Saginaw,text,scomi,1
433,Asian,F,65+,Sanilac,text,lpv,1
434,Asian,F,65+,Shiawassee,call,lpv,3
435,Asian,F,65+,Shiawassee,text,lpv,6
436,Asian,F,65+,St. Clair,call,lpv,1
437,Asian,F,65+,St. Clair,mail,lpv,3
438,Asian,F,65+,St. Clair,text,lpv,2
439,Asian,F,65+,Washtenaw,call,lpv,210
440,Asian,F,65+,Washtenaw,mail,lpv,369
441,Asian,F,65+,Washtenaw,postcards,lpv,25
442,Asian,F,65+,Washtenaw,text,lpv,1281
444,Asian,F,65+,Washtenaw,text,scomi,134
445,Asian,F,65+,Wayne,call,lpv,297
446,Asian,F,65+,Wayne,mail,lpv,629
447,Asian,F,65+,Wayne,mail,oakland,3
448,Asian,F,65+,Wayne,postcards,lpv,21
449,Asian,F,65+,Wayne,text,lpv,1620
450,Asian,F,65+,Wayne,text,oakland,6
451,Asian,F,65+,Wayne,text,scomi,192
452,Asian,M,18-29,Allegan,text,lpv,16
453,Asian,M,18-29,Barry,text,lpv,1
454,Asian,M,18-29,Benzie,call,lpv,1
455,Asian,M,18-29,Berrien,call,lpv,18
456,Asian,M,18-29,Berrien,mail,lpv,1
457,Asian,M,18-29,Berrien,postcards,lpv,3
458,Asian,M,18-29,Berrien,text,lpv,53
459,Asian,M,18-29,Branch,call,lpv,3
460,Asian,M,18-29,Branch,text,lpv,6
461,Asian,M,18-29,Calhoun,call,lpv,7
462,Asian,M,18-29,Calhoun,mail,lpv,19
463,Asian,M,18-29,Calhoun,text,lpv,13
464,Asian,M,18-29,Calhoun,text,scomi,4
465,Asian,M,18-29,Clare,text,lpv,1
466,Asian,M,18-29,Clinton,call,lpv,14
467,Asian,M,18-29,Clinton,mail,lpv,6
468,Asian,M,18-29,Clinton,text,lpv,34
469,Asian,M,18-29,Eaton,call,lpv,22
470,Asian,M,18-29,Eaton,mail,lpv,7
471,Asian,M,18-29,Eaton,text,lpv,53
472,Asian,M,18-29,Genesee,call,lpv,30
473,Asian,M,18-29,Genesee,mail,lpv,10
