RaceName,AgeGroup,CountyName,Sex,participation,count
Unknown,18-29,MACOMB,F,A,931
Asian,18-29,WAYNE,M,A,3667
Unknown,18-29,MIDLAND,F,A,17
Caucasian,45-64,BRANCH,F,P,191
Black,45-64,JACKSON,F,P,503
Black,30-44,ST. CLAIR,M,A,71
Caucasian,65+,MONROE,M,Y,16
Caucasian,18-29,LEELANAU,M,A,204
Black,45-64,OAKLAND,M,E,161
Unknown,45-64,CALHOUN,M,P,100
Unknown,30-44,LIVINGSTON,M,A,26
Unknown,18-29,CLINTON,F,A,59
Caucasian,45-64,LEELANAU,M,Y,1
Black,18-29,OTSEGO,F,A,1
Hispanic,65+,BENZIE,F,P,34
Asian,45-64,CASS,M,P,9
Unknown,30-44,CLINTON,M,P,2
Caucasian,18-29,GRATIOT,F,M,9
Caucasian,65+,ST. CLAIR,F,E,5
Black,45-64,BAY,F,P,67
Unknown,30-44,MIDLAND,F,M,1
Caucasian,18-29,KALAMAZOO,U,P,1
Black,45-64,MECOSTA,M,P,1
Caucasian,65+,IONIA,F,E,4
Black,30-44,ALCONA,M,P,1
Native American,65+,OAKLAND,M,A,1
Caucasian,65+,HILLSDALE,F,A,408
Caucasian,30-44,SAGINAW,M,P,5550
Caucasian,18-29,GRAND TRAVERSE,F,P,1604
Unknown,65+,WAYNE,F,A,928
Caucasian,65+,EATON,M,A,820
Caucasian,65+,OGEMAW,F,A,278
Caucasian,30-44,DELTA,M,P,807
Caucasian,30-44,IRON,M,A,58
Caucasian,65+,MASON,M,A,143
Caucasian,30-44,TUSCOLA,M,A,249
Hispanic,30-44,MANISTEE,M,A,2
Hispanic,45-64,LENAWEE,F,A,174
Hispanic,45-64,BAY,F,A,300
Hispanic,65+,LEELANAU,F,A,2
Caucasian,30-44,MISSAUKEE,F,A,57
Caucasian,18-29,GOGEBIC,F,P,242
Unknown,30-44,MIDLAND,M,A,7
Caucasian,30-44,PRESQUE ISLE,M,P,156
Asian,30-44,CLINTON,M,A,45
Black,65+,CLINTON,M,A,1
Caucasian,65+,MACOMB,F,Y,15
Asian,18-29,CLINTON,F,P,9
Unknown,65+,KALAMAZOO,F,P,11
Black,18-29,KALAMAZOO,U,A,1
Caucasian,65+,GENESEE,M,E,17
Caucasian,30-44,INGHAM,M,E,39
Black,30-44,MONTCALM,M,A,1
Unknown,18-29,KALAMAZOO,F,E,9
Unknown,18-29,CALHOUN,M,P,20
Caucasian,45-64,MARQUETTE,F,E,2
Hispanic,18-29,CLARE,M,A,1
Caucasian,30-44,LIVINGSTON,M,E,1
Hispanic,18-29,ALLEGAN,U,P,9
Unknown,45-64,IOSCO,F,P,1
Hispanic,30-44,GLADWIN,F,P,1
Caucasian,45-64,CALHOUN,F,A,1332
Caucasian,18-29,MUSKEGON,F,A,2444
Hispanic,45-64,OTTAWA,M,P,2565
Caucasian,45-64,HURON,M,P,115
Caucasian,45-64,OSCEOLA,M,P,68
Caucasian,30-44,CRAWFORD,F,A,89
Caucasian,65+,OAKLAND,F,Y,152
Caucasian,30-44,OCEANA,M,A,145
Caucasian,18-29,CHIPPEWA,M,P,269
Caucasian,45-64,OSCODA,F,A,43
Caucasian,18-29,BENZIE,F,A,158
Black,65+,MONROE,F,P,1
Caucasian,18-29,KALKASKA,M,P,271
Caucasian,65+,BENZIE,F,E,5
Caucasian,18-29,OSCEOLA,M,P,190
Hispanic,65+,EATON,F,A,76
Hispanic,65+,BERRIEN,F,A,47
Unknown,65+,INGHAM,M,A,119
Unknown,30-44,WEXFORD,F,P,1
Black,45-64,MACOMB,U,A,1
Hispanic,18-29,CHIPPEWA,F,P,18
Unknown,65+,BARAGA,M,A,1
Hispanic,18-29,ALPENA,F,A,16
Hispanic,18-29,JACKSON,M,A,54
Black,30-44,CALHOUN,F,Y,9
Caucasian,45-64,ST. JOSEPH,F,Y,2
Caucasian,65+,OGEMAW,F,M,1
Caucasian,45-64,OTSEGO,F,A,134
Caucasian,30-44,ISABELLA,F,P,2952
